comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct
A_vs_C,A,C,13071214.100000007,13338365.80000001,8614.14273333334,8792.243866666673,178.10113333333356,-56.206935956180295,-56.98762835543509,0.7806923992547965,1.362230340211364,1.3626692370353988,0.0004388968240347513,1525590.0,1517200.0,808,825,52.58408531583265,52.68115942028986,1,1,1,0,91.49497007579949,100.4111866942261,0,1
A_vs_P,A,P,13071214.100000007,15135800.100000003,8614.14273333334,9990.533400000002,1376.3906666666626,-56.206935956180295,-44.9033186039274,0.0,1.362230340211364,1.495411028364419,0.13318068815305506,1525590.0,1571580.0,808,821,52.58408531583265,52.846715328467155,1,1,1,1,91.49497007579949,99.6724041790796,0,0
C_vs_P,C,P,13338365.80000001,15135800.100000003,8792.243866666673,9990.533400000002,1198.289533333329,-56.98762835543509,-44.9033186039274,0.0,1.3626692370353988,1.495411028364419,0.1327417913290203,1517200.0,1571580.0,825,821,52.68115942028986,52.846715328467155,1,1,0,1,100.4111866942261,99.6724041790796,1,0
A_vs_Q,A,Q,13071214.100000007,15135800.100000003,8614.14273333334,9990.533400000002,1376.3906666666626,-56.206935956180295,-44.9033186039274,0.0,1.362230340211364,1.495411028364419,0.13318068815305506,1525590.0,1571580.0,808,821,52.58408531583265,52.846715328467155,1,1,1,1,91.49497007579949,99.6724041790796,0,0
C_vs_Q,C,Q,13338365.80000001,15135800.100000003,8792.243866666673,9990.533400000002,1198.289533333329,-56.98762835543509,-44.9033186039274,0.0,1.3626692370353988,1.495411028364419,0.1327417913290203,1517200.0,1571580.0,825,821,52.68115942028986,52.846715328467155,1,1,0,1,100.4111866942261,99.6724041790796,1,0
P_vs_Q,P,Q,15135800.100000003,15135800.100000003,9990.533400000002,9990.533400000002,0.0,-44.9033186039274,-44.9033186039274,0.0,1.495411028364419,1.495411028364419,0.0,1571580.0,1571580.0,821,821,52.846715328467155,52.846715328467155,1,1,1,1,99.6724041790796,99.6724041790796,0,0
