date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm
2018-01-02,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-03,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-04,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-05,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-08,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-09,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-10,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-11,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-12,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-15,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150330.00000000003,1.0022000000000002,0.0,20.638262489190446,330.00000000002274,1,20.0,stage772_am40_80_120_oi_monthly,150330.00000000003,1.0022000000000002,20.638262489190446,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-16,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,148850.0,0.9923333333333333,-0.9845007649837201,20.813906617400068,-1480.000000000034,4,360.0,stage772_am40_80_120_oi_monthly,148850.0,0.9923333333333333,20.813906617400068,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-17,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,148000.00000000003,0.9866666666666669,-1.5499235016297463,20.870270270270268,-849.9999999999659,0,0.0,stage772_am40_80_120_oi_monthly,148000.00000000003,0.9866666666666669,20.870270270270268,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-18,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,146450.0,0.9763333333333334,-2.580988491984315,20.974735404574943,-1550.0000000000114,0,0.0,stage772_am40_80_120_oi_monthly,146450.0,0.9763333333333334,20.974735404574943,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-19,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,-469.99999999998863,1,20.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-22,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-23,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-24,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-25,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
2018-01-26,stage006_A_official_live_c9_15w,A: 当前正式 C9/15万,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,145980.00000000003,0.9732000000000002,-2.8936340051885834,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,145980.00000000003,0.9732000000000002,0.0,stage006_A_official_live_c9_15w,,,,2018-01,2018-01,stage006_A_official_live_c9_15w,A
