datetime,date,vt_symbol,product_vt_symbol,position_direction,direction,offset,reason,volume,price,old_stop,new_stop,old_stop_distance,new_stop_distance,old_stop_distance_pct,new_stop_distance_pct,signal_low,signal_close,stop_loss_pct,old_case,contract_vt_symbol,signal,entry_context,selected_volume_before,selected_volume_after,reduced_volume,estimated_equity,reserved_margin_before,margin_per_contract,broker_margin_multiplier,cap_ratio,max_affordable_volume,projected_broker10_margin_to_equity_before,projected_broker10_margin_to_equity_after,profile,start_month,variant,account_capital,c3_capital
2018-01-12,2018-01-12,au1806.SHFE,au.SHFE,long,long,RiskSizing,long_tighter_initial_stop_adjust,0,281.55,275.919,280.55,5.631000000000029,1.0,0.0200000000000001,0.0035517670040845317,280.55,281.55,0.02,basic_min_distance,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-01-16 00:00:00+08:00,2018-01-16,rb1805.SHFE,rb.SHFE,short,多,Close,stage847_intraday_retry_failed_05r_stop,9,3807.0,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-01-18 00:00:00+08:00,2018-01-18,au1806.SHFE,au.SHFE,long,空,Close,long_prev2day_stop,1,279.25,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-01-29,2018-01-29,rb1805.SHFE,rb.SHFE,long,long,RiskSizing,long_tighter_initial_stop_adjust,0,3945.0,3866.1,3923.0,78.90000000000009,22.0,0.020000000000000025,0.005576679340937896,3923.0,3945.0,0.02,basic_min_distance,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-01-30 00:00:00+08:00,2018-01-30,rb1805.SHFE,rb.SHFE,long,空,Close,stage847_intraday_retry_failed_05r_stop,9,3930.5,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-01-31,2018-01-31,hc1805.SHFE,hc.SHFE,long,long,RiskSizing,long_tighter_initial_stop_adjust,0,3934.0,3855.3199999999997,3908.0,78.68000000000029,26.0,0.020000000000000073,0.0066090493136756485,3908.0,3934.0,0.02,basic_min_distance,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-02-09 00:00:00+08:00,2018-02-09,hc1805.SHFE,hc.SHFE,long,空,Close,long_prev2day_stop,9,3958.0,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-02-23 00:00:00+08:00,2018-02-23,OI805.CZCE,OI.CZCE,short,多,Close,short_prev2day_stop,4,6350.0,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-02-27,2018-02-27,hc1805.SHFE,hc.SHFE,long,long,RiskSizing,long_tighter_initial_stop_adjust,0,4099.0,4017.02,4039.0,81.98000000000002,60.0,0.020000000000000004,0.014637716516223469,4039.0,4099.0,0.02,basic_min_distance,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-02-28,2018-02-28,rb1805.SHFE,rb.SHFE,long,long,RiskSizing,long_tighter_initial_stop_adjust,0,4020.0,3939.6,4006.0,80.40000000000009,14.0,0.02000000000000002,0.003482587064676617,4006.0,4020.0,0.02,basic_min_distance,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-03-02 00:00:00+08:00,2018-03-02,au1806.SHFE,au.SHFE,short,多,Close,stage847_intraday_retry_failed_05r_stop,1,271.85,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
2018-03-05 00:00:00+08:00,2018-03-05,hc1805.SHFE,hc.SHFE,long,空,Close,long_prev2day_stop,8,4047.0,,,,,,,,,,,,,,,,,,,,,,,,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0
