date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm
2018-01-02,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-03,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-04,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-05,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-08,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-09,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-10,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-11,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-12,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
2018-01-15,stage060_A_stage037_top8_plus_fu,A: Stage037 AI Top8+fu（9品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150330.00000000003,1.0022000000000002,0.0,20.63826248919045,330.00000000002274,1,20.0,stage772_am40_80_120_oi_monthly,150330.00000000003,1.0022000000000002,20.63826248919045,stage060_A_stage037_top8_plus_fu,,,,2018-01,2018-01,stage060_A_stage037_top8_plus_fu,A
