trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.1,BACKTESTING.1,2018-01-15 00:00:00+08:00,2018-01-15,00:00:00,au1806.SHFE,au1806,SHFE,多,开,281.7,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.2,BACKTESTING.2,2018-01-16 00:00:00+08:00,2018-01-16,00:00:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.3,BACKTESTING.2.stage847_c9.1,2018-01-16 09:03:00+08:00,2018-01-16,09:03:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.4,BACKTESTING.2.stage847_c9.2,2018-01-16 14:27:00+08:00,2018-01-16,14:27:00,rb1805.SHFE,rb1805,SHFE,空,开,3803.0,9.0,-9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.5,BACKTESTING.2.stage847_c9.3,2018-01-16 22:22:00+08:00,2018-01-16,22:22:00,rb1805.SHFE,rb1805,SHFE,多,平,3807.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.6,BACKTESTING.3,2018-01-19 00:00:00+08:00,2018-01-19,00:00:00,au1806.SHFE,au1806,SHFE,空,平,278.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.7,BACKTESTING.4,2018-02-05 00:00:00+08:00,2018-02-05,00:00:00,OI805.CZCE,OI805,CZCE,空,开,6340.0,4.0,-4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.8,BACKTESTING.5,2018-02-26 00:00:00+08:00,2018-02-26,00:00:00,OI805.CZCE,OI805,CZCE,多,平,6348.0,4.0,4.0,BACKTESTING,short_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.9,BACKTESTING.6,2018-02-28 00:00:00+08:00,2018-02-28,00:00:00,hc1805.SHFE,hc1805,SHFE,多,开,4089.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.10,BACKTESTING.7,2018-03-01 00:00:00+08:00,2018-03-01,00:00:00,rb1805.SHFE,rb1805,SHFE,多,开,4017.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.11,BACKTESTING.8,2018-03-02 00:00:00+08:00,2018-03-02,00:00:00,au1806.SHFE,au1806,SHFE,空,开,270.95,1.0,-1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.12,BACKTESTING.8.stage847_c9.1,2018-03-02 00:46:00+08:00,2018-03-02,00:46:00,au1806.SHFE,au1806,SHFE,多,平,271.85,1.0,1.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.13,BACKTESTING.8.stage847_c9.2,2018-03-02 02:29:00+08:00,2018-03-02,02:29:00,au1806.SHFE,au1806,SHFE,空,开,270.95,1.0,-1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.14,BACKTESTING.8.stage847_c9.3,2018-03-02 09:00:00+08:00,2018-03-02,09:00:00,au1806.SHFE,au1806,SHFE,多,平,271.85,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.15,BACKTESTING.9,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,hc1805.SHFE,hc1805,SHFE,空,平,4046.0,7.0,-7.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.16,BACKTESTING.10,2018-03-06 00:00:00+08:00,2018-03-06,00:00:00,rb1805.SHFE,rb1805,SHFE,空,平,3948.0,3.0,-3.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.17,BACKTESTING.11,2018-03-29 00:00:00+08:00,2018-03-29,00:00:00,AP805.CZCE,AP805,CZCE,多,开,7336.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.18,BACKTESTING.11.stage847_c9.1,2018-03-29 09:09:00+08:00,2018-03-29,09:09:00,AP805.CZCE,AP805,CZCE,空,平,7294.5,3.0,-3.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.19,BACKTESTING.12,2018-04-19 00:00:00+08:00,2018-04-19,00:00:00,au1806.SHFE,au1806,SHFE,多,开,275.6,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.20,BACKTESTING.12.stage847_c9.1,2018-04-19 22:46:00+08:00,2018-04-19,22:46:00,au1806.SHFE,au1806,SHFE,空,平,274.32500000000005,1.0,-1.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.21,BACKTESTING.13,2018-06-19 00:00:00+08:00,2018-06-19,00:00:00,FG809.CZCE,FG809,CZCE,多,开,1465.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.22,BACKTESTING.14,2018-06-25 00:00:00+08:00,2018-06-25,00:00:00,FG809.CZCE,FG809,CZCE,空,平,1457.0,7.0,-7.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.23,BACKTESTING.15,2018-07-09 00:00:00+08:00,2018-07-09,00:00:00,MA809.CZCE,MA809,CZCE,多,开,2904.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.24,BACKTESTING.15.stage847_c9.1,2018-07-09 09:13:00+08:00,2018-07-09,09:13:00,MA809.CZCE,MA809,CZCE,空,平,2886.5,9.0,-9.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.25,BACKTESTING.16,2018-07-12 00:00:00+08:00,2018-07-12,00:00:00,hc1810.SHFE,hc1810,SHFE,多,开,3959.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.26,BACKTESTING.17,2018-07-27 00:00:00+08:00,2018-07-27,00:00:00,SM809.CZCE,SM809,CZCE,多,开,8150.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.27,BACKTESTING.17.stage847_c9.1,2018-07-27 10:05:00+08:00,2018-07-27,10:05:00,SM809.CZCE,SM809,CZCE,空,平,8107.0,7.0,-7.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.28,BACKTESTING.18,2018-07-31 00:00:00+08:00,2018-07-31,00:00:00,FG809.CZCE,FG809,CZCE,多,开,1491.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.29,BACKTESTING.18.stage847_c9.1,2018-07-31 10:53:00+08:00,2018-07-31,10:53:00,FG809.CZCE,FG809,CZCE,空,平,1486.0,9.0,-9.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.30,BACKTESTING.19,2018-08-03 00:00:00+08:00,2018-08-03,00:00:00,SM809.CZCE,SM809,CZCE,多,开,8260.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.31,BACKTESTING.20,2018-08-03 00:00:00+08:00,2018-08-03,00:00:00,hc1810.SHFE,hc1810,SHFE,空,平,4159.0,4.0,-4.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.32,BACKTESTING.21,2018-08-14 00:00:00+08:00,2018-08-14,00:00:00,hc1810.SHFE,hc1810,SHFE,多,开,4277.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.33,BACKTESTING.21.stage847_c9.1,2018-08-14 14:33:00+08:00,2018-08-14,14:33:00,hc1810.SHFE,hc1810,SHFE,空,平,4232.27,2.0,-2.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.34,BACKTESTING.22,2018-08-24 00:00:00+08:00,2018-08-24,00:00:00,SM809.CZCE,SM809,CZCE,空,平,8620.0,7.0,-7.0,BACKTESTING,rollover_close,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.35,BACKTESTING.23,2018-09-21 00:00:00+08:00,2018-09-21,00:00:00,AP901.CZCE,AP901,CZCE,多,开,12288.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.36,BACKTESTING.23.stage847_c9.1,2018-09-21 09:15:00+08:00,2018-09-21,09:15:00,AP901.CZCE,AP901,CZCE,空,平,12221.5,2.0,-2.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.37,BACKTESTING.23.stage847_c9.2,2018-09-21 11:04:00+08:00,2018-09-21,11:04:00,AP901.CZCE,AP901,CZCE,多,开,12288.0,2.0,2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.38,BACKTESTING.23.stage847_c9.3,2018-09-21 11:17:00+08:00,2018-09-21,11:17:00,AP901.CZCE,AP901,CZCE,空,平,12221.5,2.0,-2.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.39,BACKTESTING.24,2018-10-15 00:00:00+08:00,2018-10-15,00:00:00,au1812.SHFE,au1812,SHFE,多,开,273.45,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.40,BACKTESTING.25,2018-10-16 00:00:00+08:00,2018-10-16,00:00:00,OI901.CZCE,OI901,CZCE,多,开,6783.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.41,BACKTESTING.26,2018-10-17 00:00:00+08:00,2018-10-17,00:00:00,OI901.CZCE,OI901,CZCE,空,平,6743.0,4.0,-4.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.42,BACKTESTING.27,2018-11-01 00:00:00+08:00,2018-11-01,00:00:00,au1812.SHFE,au1812,SHFE,空,平,274.8,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.43,BACKTESTING.28,2018-11-01 00:00:00+08:00,2018-11-01,00:00:00,hc1901.SHFE,hc1901,SHFE,空,开,3804.0,7.0,-7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.44,BACKTESTING.29,2018-11-06 00:00:00+08:00,2018-11-06,00:00:00,hc1901.SHFE,hc1901,SHFE,多,平,3770.0,7.0,7.0,BACKTESTING,short_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.45,BACKTESTING.30,2019-01-31 00:00:00+08:00,2019-01-31,00:00:00,CF905.CZCE,CF905,CZCE,多,开,15330.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.46,BACKTESTING.30.stage847_c9.1,2019-01-31 09:00:00+08:00,2019-01-31,09:00:00,CF905.CZCE,CF905,CZCE,空,平,15290.0,4.0,-4.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.47,BACKTESTING.30.stage847_c9.2,2019-01-31 21:25:00+08:00,2019-01-31,21:25:00,CF905.CZCE,CF905,CZCE,多,开,15330.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.48,BACKTESTING.30.stage847_c9.3,2019-01-31 23:11:00+08:00,2019-01-31,23:11:00,CF905.CZCE,CF905,CZCE,空,平,15290.0,4.0,-4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.49,BACKTESTING.31,2019-02-12 00:00:00+08:00,2019-02-12,00:00:00,au1906.SHFE,au1906,SHFE,多,开,288.15,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.50,BACKTESTING.32,2019-02-12 00:00:00+08:00,2019-02-12,00:00:00,fu1905.SHFE,fu1905,SHFE,多,开,2823.0,8.0,8.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.51,BACKTESTING.33,2019-02-13 00:00:00+08:00,2019-02-13,00:00:00,sp1906.SHFE,sp1906,SHFE,多,开,5522.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.52,BACKTESTING.33.stage847_c9.1,2019-02-13 10:55:00+08:00,2019-02-13,10:55:00,sp1906.SHFE,sp1906,SHFE,空,平,5470.0,3.0,-3.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.53,BACKTESTING.34,2019-02-15 00:00:00+08:00,2019-02-15,00:00:00,au1906.SHFE,au1906,SHFE,空,平,287.05,1.0,-1.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.54,BACKTESTING.35,2019-02-20 00:00:00+08:00,2019-02-20,00:00:00,OI905.CZCE,OI905,CZCE,多,开,6763.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.56,BACKTESTING.36,2019-02-20 00:00:00+08:00,2019-02-20,00:00:00,ru1905.SHFE,ru1905,SHFE,多,开,12340.0,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.55,BACKTESTING.35.stage847_c9.1,2019-02-20 09:00:00+08:00,2019-02-20,09:00:00,OI905.CZCE,OI905,CZCE,空,平,6724.5,4.0,-4.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.57,BACKTESTING.36.stage847_c9.1,2019-02-20 10:05:00+08:00,2019-02-20,10:05:00,ru1905.SHFE,ru1905,SHFE,空,平,12233.75,1.0,-1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.58,BACKTESTING.36.stage847_c9.2,2019-02-20 11:08:00+08:00,2019-02-20,11:08:00,ru1905.SHFE,ru1905,SHFE,多,开,12340.0,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.59,BACKTESTING.37,2019-02-22 00:00:00+08:00,2019-02-22,00:00:00,sp1906.SHFE,sp1906,SHFE,多,开,5610.0,7.0,7.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.60,BACKTESTING.38,2019-02-26 00:00:00+08:00,2019-02-26,00:00:00,fu1905.SHFE,fu1905,SHFE,空,平,2840.0,8.0,-8.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.61,BACKTESTING.39,2019-02-27 00:00:00+08:00,2019-02-27,00:00:00,MA905.CZCE,MA905,CZCE,多,开,2562.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.63,BACKTESTING.40,2019-02-27 00:00:00+08:00,2019-02-27,00:00:00,sp1906.SHFE,sp1906,SHFE,空,平,5588.0,7.0,-7.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.62,BACKTESTING.39.stage847_c9.1,2019-02-27 14:30:00+08:00,2019-02-27,14:30:00,MA905.CZCE,MA905,CZCE,空,平,2531.9700000000003,3.0,-3.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.64,BACKTESTING.41,2019-03-04 00:00:00+08:00,2019-03-04,00:00:00,MA905.CZCE,MA905,CZCE,多,开,2638.0,9.0,9.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.65,BACKTESTING.42,2019-03-05 00:00:00+08:00,2019-03-05,00:00:00,rb1905.SHFE,rb1905,SHFE,多,开,3822.0,8.0,8.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.67,BACKTESTING.43,2019-03-05 00:00:00+08:00,2019-03-05,00:00:00,ru1905.SHFE,ru1905,SHFE,空,平,12495.0,1.0,-1.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.66,BACKTESTING.42.stage847_c9.1,2019-03-05 09:00:00+08:00,2019-03-05,09:00:00,rb1905.SHFE,rb1905,SHFE,空,平,3804.5,8.0,-8.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.68,BACKTESTING.44,2019-03-06 00:00:00+08:00,2019-03-06,00:00:00,OI905.CZCE,OI905,CZCE,多,开,6925.0,5.0,5.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.69,BACKTESTING.45,2019-03-08 00:00:00+08:00,2019-03-08,00:00:00,CF905.CZCE,CF905,CZCE,多,开,15405.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.71,BACKTESTING.46,2019-03-08 00:00:00+08:00,2019-03-08,00:00:00,MA905.CZCE,MA905,CZCE,空,平,2591.0,9.0,-9.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.70,BACKTESTING.45.stage847_c9.1,2019-03-08 09:00:00+08:00,2019-03-08,09:00:00,CF905.CZCE,CF905,CZCE,空,平,15342.5,3.0,-3.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.72,BACKTESTING.47,2019-03-13 00:00:00+08:00,2019-03-13,00:00:00,OI905.CZCE,OI905,CZCE,空,平,7007.0,5.0,-5.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.73,BACKTESTING.48,2019-03-21 00:00:00+08:00,2019-03-21,00:00:00,AP905.CZCE,AP905,CZCE,多,开,11331.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.74,BACKTESTING.49,2019-03-25 00:00:00+08:00,2019-03-25,00:00:00,AP905.CZCE,AP905,CZCE,空,平,11248.0,3.0,-3.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.75,BACKTESTING.50,2019-03-26 00:00:00+08:00,2019-03-26,00:00:00,CF905.CZCE,CF905,CZCE,多,开,15250.0,4.0,4.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.76,BACKTESTING.51,2019-03-27 00:00:00+08:00,2019-03-27,00:00:00,CF905.CZCE,CF905,CZCE,空,平,15245.0,4.0,-4.0,BACKTESTING,long_ma_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.77,BACKTESTING.52,2019-04-01 00:00:00+08:00,2019-04-01,00:00:00,AP905.CZCE,AP905,CZCE,多,开,11634.0,1.0,1.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.78,BACKTESTING.53,2019-04-04 00:00:00+08:00,2019-04-04,00:00:00,hc1905.SHFE,hc1905,SHFE,多,开,3825.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.79,BACKTESTING.54,2019-04-12 00:00:00+08:00,2019-04-12,00:00:00,fu1905.SHFE,fu1905,SHFE,空,开,2797.0,10.0,-10.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.80,BACKTESTING.54.stage847_c9.1,2019-04-12 09:00:00+08:00,2019-04-12,09:00:00,fu1905.SHFE,fu1905,SHFE,多,平,2808.0,10.0,10.0,BACKTESTING,stage847_intraday_05r_stop_no_reentry,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.81,BACKTESTING.55,2019-04-15 00:00:00+08:00,2019-04-15,00:00:00,hc1905.SHFE,hc1905,SHFE,空,平,3825.0,3.0,-3.0,BACKTESTING,rollover_close,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.82,BACKTESTING.56,2019-04-22 00:00:00+08:00,2019-04-22,00:00:00,AP905.CZCE,AP905,CZCE,空,平,11908.0,1.0,-1.0,BACKTESTING,rollover_close,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
