vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
lh2109.DCE,DCE.lh2109,1970-01-01 08:00:00,-1,,,,,0.0,0.0,0.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:00:00,0,29500.0,30680.0,29000.0,30590.0,7107.0,0.0,5087.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:01:00,1,30590.0,30675.0,30180.0,30180.0,2453.0,5087.0,6049.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:02:00,2,30180.0,30180.0,29815.0,29815.0,2481.0,6049.0,7058.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:03:00,3,29815.0,30045.0,29800.0,29915.0,1955.0,7058.0,8061.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:04:00,4,29915.0,29945.0,29680.0,29705.0,1363.0,8061.0,8624.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:05:00,5,29705.0,29725.0,28600.0,28875.0,2622.0,8624.0,9456.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:06:00,6,28875.0,29200.0,28845.0,29125.0,2143.0,9456.0,10056.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:07:00,7,29125.0,29400.0,29045.0,29070.0,1706.0,10056.0,10194.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:08:00,8,29070.0,29335.0,28900.0,29250.0,1264.0,10194.0,10541.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:09:00,9,29250.0,29490.0,29050.0,29050.0,1146.0,10541.0,10789.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:10:00,10,29050.0,29295.0,29025.0,29280.0,745.0,10789.0,10971.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:11:00,11,29280.0,29345.0,29220.0,29255.0,484.0,10971.0,11195.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:12:00,12,29255.0,29255.0,29070.0,29195.0,612.0,11195.0,11449.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:13:00,13,29195.0,29210.0,29105.0,29185.0,427.0,11449.0,11584.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:14:00,14,29185.0,29390.0,29155.0,29265.0,622.0,11584.0,11724.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:15:00,15,29265.0,29315.0,29005.0,29115.0,822.0,11724.0,12058.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:16:00,16,29115.0,29125.0,28880.0,28900.0,1217.0,12058.0,12417.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:17:00,17,28900.0,29155.0,28900.0,29060.0,605.0,12417.0,12556.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:18:00,18,29060.0,29150.0,29020.0,29020.0,328.0,12556.0,12668.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:19:00,19,29020.0,29040.0,28880.0,28890.0,613.0,12668.0,12963.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:20:00,20,28890.0,28890.0,28500.0,28590.0,1957.0,12963.0,13357.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:21:00,21,28590.0,28590.0,28020.0,28255.0,2230.0,13357.0,13519.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:22:00,22,28255.0,28555.0,28000.0,28345.0,1560.0,13519.0,13624.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:23:00,23,28345.0,28350.0,27900.0,28170.0,1273.0,13624.0,13820.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:24:00,24,28170.0,28410.0,27990.0,28180.0,1238.0,13820.0,14182.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:25:00,25,28180.0,28215.0,28065.0,28150.0,699.0,14182.0,14336.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:26:00,26,28150.0,28320.0,28095.0,28290.0,569.0,14336.0,14416.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:27:00,27,28290.0,28380.0,28105.0,28245.0,552.0,14416.0,14499.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:28:00,28,28245.0,28490.0,28225.0,28430.0,455.0,14499.0,14527.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:29:00,29,28430.0,28435.0,28175.0,28200.0,387.0,14527.0,14553.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:30:00,30,28200.0,28395.0,28200.0,28390.0,234.0,14553.0,14616.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:31:00,31,28390.0,28430.0,28285.0,28420.0,264.0,14616.0,14646.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:32:00,32,28420.0,28435.0,28310.0,28350.0,162.0,14646.0,14672.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:33:00,33,28350.0,28360.0,28290.0,28295.0,179.0,14672.0,14727.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:34:00,34,28295.0,28360.0,28290.0,28360.0,141.0,14727.0,14782.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:35:00,35,28360.0,28435.0,28110.0,28110.0,400.0,14782.0,14840.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:36:00,36,28110.0,28350.0,28060.0,28300.0,535.0,14840.0,14885.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:37:00,37,28300.0,28370.0,28280.0,28320.0,182.0,14885.0,14939.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:38:00,38,28320.0,28320.0,28205.0,28240.0,155.0,14939.0,14974.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:39:00,39,28240.0,28345.0,28240.0,28330.0,174.0,14974.0,15039.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:40:00,40,28330.0,28555.0,28330.0,28410.0,705.0,15039.0,15023.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:41:00,41,28410.0,28520.0,28390.0,28510.0,316.0,15023.0,15062.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:42:00,42,28510.0,28540.0,28345.0,28400.0,297.0,15062.0,15071.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:43:00,43,28400.0,28500.0,28400.0,28500.0,173.0,15071.0,15114.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:44:00,44,28500.0,28500.0,28430.0,28440.0,111.0,15114.0,15147.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:45:00,45,28440.0,28460.0,28425.0,28435.0,76.0,15147.0,15158.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:46:00,46,28435.0,28585.0,28430.0,28585.0,261.0,15158.0,15191.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:47:00,47,28585.0,28585.0,28450.0,28450.0,274.0,15191.0,15232.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:48:00,48,28450.0,28535.0,28450.0,28525.0,177.0,15232.0,15240.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:49:00,49,28525.0,28530.0,28240.0,28290.0,460.0,15240.0,15216.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:50:00,50,28290.0,28420.0,28260.0,28355.0,207.0,15216.0,15245.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:51:00,51,28355.0,28495.0,28300.0,28490.0,214.0,15245.0,15242.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:52:00,52,28490.0,28520.0,28440.0,28445.0,277.0,15242.0,15265.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:53:00,53,28445.0,28460.0,28360.0,28370.0,144.0,15265.0,15256.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:54:00,54,28370.0,28420.0,28350.0,28385.0,118.0,15256.0,15311.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:55:00,55,28385.0,28415.0,28260.0,28260.0,158.0,15311.0,15321.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:56:00,56,28260.0,28420.0,28260.0,28415.0,150.0,15321.0,15335.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:57:00,57,28415.0,28415.0,28330.0,28335.0,82.0,15335.0,15345.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:58:00,58,28335.0,28400.0,28330.0,28390.0,105.0,15345.0,15353.0
lh2109.DCE,DCE.lh2109,2021-01-08 09:59:00,59,28390.0,28470.0,28380.0,28405.0,234.0,15353.0,15387.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:00:00,60,28405.0,28405.0,28325.0,28380.0,101.0,15387.0,15394.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:01:00,61,28380.0,28440.0,28380.0,28415.0,65.0,15394.0,15403.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:02:00,62,28415.0,28450.0,28405.0,28435.0,69.0,15403.0,15410.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:03:00,63,28435.0,28450.0,28380.0,28380.0,125.0,15410.0,15415.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:04:00,64,28380.0,28410.0,28310.0,28380.0,124.0,15415.0,15378.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:05:00,65,28380.0,28425.0,28380.0,28415.0,54.0,15378.0,15384.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:06:00,66,28415.0,28435.0,28410.0,28410.0,43.0,15384.0,15376.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:07:00,67,28410.0,28430.0,28350.0,28350.0,83.0,15376.0,15351.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:08:00,68,28350.0,28380.0,28270.0,28315.0,262.0,15351.0,15331.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:09:00,69,28315.0,28340.0,28240.0,28240.0,170.0,15331.0,15360.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:10:00,70,28240.0,28240.0,28000.0,28100.0,1057.0,15360.0,15342.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:11:00,71,28100.0,28170.0,28075.0,28160.0,309.0,15342.0,15417.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:12:00,72,28160.0,28240.0,28155.0,28225.0,241.0,15417.0,15432.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:13:00,73,28225.0,28225.0,28100.0,28105.0,207.0,15432.0,15495.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:14:00,74,28105.0,28195.0,28100.0,28190.0,158.0,15495.0,15520.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:30:00,75,28195.0,28230.0,28100.0,28210.0,342.0,15520.0,15616.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:31:00,76,28210.0,28355.0,28210.0,28300.0,298.0,15616.0,15560.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:32:00,77,28300.0,28325.0,28280.0,28305.0,97.0,15560.0,15560.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:33:00,78,28305.0,28305.0,28195.0,28210.0,141.0,15560.0,15573.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:34:00,79,28210.0,28295.0,28200.0,28285.0,113.0,15573.0,15573.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:35:00,80,28285.0,28340.0,28240.0,28255.0,113.0,15573.0,15564.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:36:00,81,28255.0,28280.0,28215.0,28230.0,90.0,15564.0,15561.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:37:00,82,28230.0,28280.0,28230.0,28255.0,47.0,15561.0,15574.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:38:00,83,28255.0,28300.0,28255.0,28260.0,74.0,15574.0,15583.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:39:00,84,28260.0,28285.0,28210.0,28230.0,86.0,15583.0,15583.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:40:00,85,28230.0,28230.0,28125.0,28195.0,159.0,15583.0,15622.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:41:00,86,28195.0,28270.0,28195.0,28260.0,74.0,15622.0,15614.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:42:00,87,28260.0,28285.0,28260.0,28285.0,89.0,15614.0,15635.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:43:00,88,28285.0,28305.0,28245.0,28245.0,126.0,15635.0,15668.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:44:00,89,28245.0,28290.0,28245.0,28285.0,53.0,15668.0,15674.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:45:00,90,28285.0,28295.0,28250.0,28270.0,60.0,15674.0,15685.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:46:00,91,28270.0,28295.0,28270.0,28280.0,79.0,15685.0,15654.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:47:00,92,28280.0,28325.0,28280.0,28325.0,158.0,15654.0,15651.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:48:00,93,28325.0,28415.0,28315.0,28360.0,311.0,15651.0,15643.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:49:00,94,28360.0,28400.0,28330.0,28395.0,111.0,15643.0,15645.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:50:00,95,28395.0,28395.0,28315.0,28315.0,65.0,15645.0,15656.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:51:00,96,28315.0,28330.0,28280.0,28320.0,81.0,15656.0,15654.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:52:00,97,28320.0,28320.0,28205.0,28205.0,105.0,15654.0,15657.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:53:00,98,28205.0,28270.0,28185.0,28260.0,119.0,15657.0,15662.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:54:00,99,28260.0,28260.0,28195.0,28230.0,93.0,15662.0,15687.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:55:00,100,28230.0,28250.0,28205.0,28245.0,30.0,15687.0,15691.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:56:00,101,28245.0,28245.0,28210.0,28225.0,51.0,15691.0,15700.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:57:00,102,28225.0,28245.0,28225.0,28235.0,64.0,15700.0,15715.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:58:00,103,28235.0,28240.0,28215.0,28215.0,50.0,15715.0,15731.0
lh2109.DCE,DCE.lh2109,2021-01-08 10:59:00,104,28215.0,28225.0,28190.0,28225.0,74.0,15731.0,15744.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:00:00,105,28225.0,28225.0,28135.0,28150.0,159.0,15744.0,15729.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:01:00,106,28150.0,28240.0,28150.0,28185.0,133.0,15729.0,15711.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:02:00,107,28185.0,28240.0,28185.0,28235.0,66.0,15711.0,15702.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:03:00,108,28235.0,28240.0,28170.0,28170.0,67.0,15702.0,15702.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:04:00,109,28170.0,28225.0,28170.0,28205.0,44.0,15702.0,15696.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:05:00,110,28205.0,28210.0,28165.0,28170.0,69.0,15696.0,15717.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:06:00,111,28170.0,28200.0,28130.0,28200.0,152.0,15717.0,15721.0
lh2109.DCE,DCE.lh2109,2021-01-08 11:07:00,112,28200.0,28200.0,28165.0,28195.0,42.0,15721.0,15734.0
