date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm
2018-01-02,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-03,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-04,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-05,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-08,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-09,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-10,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-11,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-12,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150000.0,1.0,0.0,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,150000.0,1.0,0.0,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-15,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,150330.00000000003,1.0022000000000002,0.0,20.638262489190446,330.00000000002274,1,20.0,stage772_am40_80_120_oi_monthly,150330.00000000003,1.0022000000000002,20.638262489190446,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
2018-01-16,stage027_A_formal_q_backwards_ratio_continuous,A: 当前正式 Q（旧主力复权连续历史）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,148850.0,0.9923333333333333,-0.9845007649837201,20.813906617400068,-1480.000000000034,4,360.0,stage772_am40_80_120_oi_monthly,148850.0,0.9923333333333333,20.813906617400068,stage027_A_formal_q_backwards_ratio_continuous,,,,2018-01,2018-01,stage027_A_formal_q_backwards_ratio_continuous,A
