strategy,score_type,eval_date,product_vt_symbol,score,score_rank,top_n,requested_top_n
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,AP.CZCE,0.0,1,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,CF.CZCE,0.0,2,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,FG.CZCE,0.0,3,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,MA.CZCE,0.0,4,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,OI.CZCE,0.0,5,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,SA.CZCE,0.0,6,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,SH.CZCE,0.0,7,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,SM.CZCE,0.0,8,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,au.SHFE,0.0,9,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,cu.SHFE,0.0,10,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,hc.SHFE,0.0,11,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,jm.DCE,0.0,12,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,lc.GFEX,0.0,13,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,lh.DCE,0.0,14,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,rb.SHFE,0.0,15,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,ru.SHFE,0.0,16,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,si.GFEX,0.0,17,18,10
ai_top10_plus_fu_width_sweep,static18_pre_ai_boundary,2019-12-31,sp.SHFE,0.0,18,18,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,jm.DCE,0.9008630588285628,1,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,MA.CZCE,0.8563791023632789,2,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,au.SHFE,0.8478827345739763,3,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,cu.SHFE,0.8197230122758663,4,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,CF.CZCE,0.7854996161181643,5,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,SM.CZCE,0.7741172969773703,6,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,FG.CZCE,0.7031585105488941,7,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,sp.SHFE,0.6752164682488173,8,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,SH.CZCE,0.6335590622722284,9,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,lc.GFEX,0.6335590622722284,10,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-01-28,fu.SHFE,0.6335580622722283,11,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,jm.DCE,0.9620074250611552,1,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,SM.CZCE,0.9471872959311104,2,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,FG.CZCE,0.9398379502465558,3,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,MA.CZCE,0.8727737736482977,4,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,au.SHFE,0.8119607461314989,5,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,lh.DCE,0.7982920629181023,6,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,hc.SHFE,0.7854421774981711,7,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,sp.SHFE,0.7773452358078055,8,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,CF.CZCE,0.7759264944915109,9,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,OI.CZCE,0.7713131422044571,10,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-02-28,fu.SHFE,0.7713121422044571,11,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,lh.DCE,0.9515815847287018,1,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,jm.DCE,0.9247255330113834,2,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,FG.CZCE,0.8880706182559858,3,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,SM.CZCE,0.7780768238280804,4,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,au.SHFE,0.6875193606508246,5,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,rb.SHFE,0.6702813991683159,6,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,hc.SHFE,0.6693751857507094,7,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,MA.CZCE,0.6672746665365703,8,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,SH.CZCE,0.6335590622722284,9,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,lc.GFEX,0.6335590622722284,10,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-03-31,fu.SHFE,0.6335580622722283,11,11,10
ai_top10_plus_fu_width_sweep,ai_probability_top10_plus_fixed_fu,2022-04-29,FG.CZCE,0.977640803908317,1,11,10
